[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.002    0.000 __init__.py:442(LoadLibrary)
       96    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 symbol.py:3(<module>)
        4    0.000    0.000    0.006    0.001 pkg_resources.py:1747(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
        6    0.000    0.000    0.002    0.000 pkg_resources.py:1578(_extract_resource)
        1    0.000    0.000    0.001    0.001 arrayprint.py:233(_array2string)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        6    0.000    0.000    0.000    0.000 {_warnings.warn}
      3/1    0.000    0.000    0.000    0.000 arrayprint.py:465(_formatArray)
       35    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        1    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       75    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:739(close)
      155    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        8    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        6    0.000    0.000    0.001    0.000 pkg_resources.py:984(get_cache_path)
        8    0.000    0.000    0.001    0.000 glx_info.py:128(have_extension)
        1    0.000    0.000    0.000    0.000 base.py:211(_legacy_setup)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
       28    0.000    0.000    0.000    0.000 xlib.py:100(__init__)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    3.325    3.325 base.py:119(run)
       19    0.000    0.000    0.000    0.000 posixpath.py:365(abspath)
      115    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       10    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1092(get_default_cache)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 Contours:123(on_resize)
        1    0.000    0.000    0.000    0.000 arrayprint.py:639(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:97(add)
       28    0.000    0.000    0.000    0.000 base.py:177(__init__)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
      344    0.000    0.000    0.000    0.000 {math.sqrt}
       12    0.000    0.000    0.000    0.000 pickle.py:911(load_int)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        6    0.000    0.000    0.000    0.000 posixpath.py:258(expanduser)
        1    0.000    0.000    0.000    0.000 __init__.py:117(XlibWindow)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1440(_setup_prefix)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
      233    0.000    0.000    0.000    0.000 {imp.release_lock}
        6    0.000    0.000    0.000    0.000 pickle.py:993(load_tuple)
        4    0.000    0.000    0.000    0.000 threading.py:372(notify)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       51    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
        4    0.000    0.000    0.000    0.000 gl_info.py:148(have_version)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       17    0.000    0.000    0.001    0.000 pkg_resources.py:1962(normalize_path)
       76    0.000    0.000    0.000    0.000 stat.py:55(S_ISLNK)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        2    0.000    0.000    0.003    0.002 pkg_resources.py:933(resource_filename)
       51    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1088(_event_motionnotify_view)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
       14    0.000    0.000    0.000    0.000 pkg_resources.py:1981(yield_lines)
      233    0.000    0.000    0.000    0.000 {imp.acquire_lock}
        1    0.000    0.000    0.013    0.013 pkg_resources.py:417(__init__)
       17    0.000    0.000    0.001    0.000 posixpath.py:379(realpath)
        1    0.000    0.000    0.000    0.000 __init__.py:267(BaseWindow)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
       31    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        3    0.000    0.000    0.000    0.000 base.py:86(__init__)
        1    0.000    0.000    0.026    0.026 __init__.py:197(_create_shadow_window)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        2    0.000    0.000    0.000    0.000 base.py:293(_set_has_exit)
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
       82    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    61/50    0.000    0.000    0.000    0.000 {issubclass}
        2    0.000    0.000    0.000    0.000 base.py:107(get_gl_attributes)
        8    0.000    0.000    0.000    0.000 {posix.uname}
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        8    0.000    0.000    0.000    0.000 posixpath.py:89(split)
      115    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:64(get_display)
       21    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 glxext_mesa.py:36(<module>)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1009(_warn_unsafe_extraction_path)
        2    0.000    0.000    0.002    0.001 base.py:325(destroy)
       29    0.000    0.000    0.000    0.000 {sys._getframe}
        2    0.000    0.000    0.000    0.000 xlib.py:180(get_visual_info)
       10    0.000    0.000    0.000    0.000 numeric.py:2701(__init__)
       12    0.000    0.000    0.000    0.000 zipfile.py:1251(close)
       12    0.000    0.000    0.000    0.000 pkg_resources.py:1570(_get_date_and_size)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
      146    0.000    0.000    0.000    0.000 pkg_resources.py:1704(has_metadata)
       23    0.000    0.000    0.000    0.000 core.py:5992(__init__)
       77    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
        2    0.000    0.000    0.000    0.000 arrayprint.py:632(_digits)
      234    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       17    0.000    0.000    0.000    0.000 __init__.py:241(_event_wrapper)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        2    0.000    0.000    0.028    0.014 pickle.py:1211(load_build)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
       15    0.000    0.000    0.000    0.000 pickle.py:1164(load_put)
        2    0.000    0.000    0.003    0.001 pkg_resources.py:1557(get_resource_filename)
        2    0.000    0.000    0.000    0.000 xlib.py:223(set_vsync)
       10    0.000    0.000    0.000    0.000 pkg_resources.py:1670(_has)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
       10    0.000    0.000    0.000    0.000 numeric.py:2705(__enter__)
       26    0.000    0.000    0.000    0.000 event.py:160(register_event_type)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
       16    0.000    0.000    0.000    0.000 pkg_resources.py:1539(_zipinfo_name)
        1    0.000    0.000    0.000    0.000 sysconfig.py:580(get_platform)
        1    0.000    0.000    2.009    2.009 Contours:41(load_noise)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
        8    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        8    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        8    0.000    0.000    0.000    0.000 pkg_resources.py:1548(_parts)
       46    0.000    0.000    0.000    0.000 glx_info.py:76(check_display)
        1    0.000    0.000    0.003    0.003 __init__.py:1011(_event_key_view)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        1    0.000    0.000    0.000    0.000 threading.py:640(Thread)
      338    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       10    0.000    0.000    0.000    0.000 numeric.py:2710(__exit__)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        6    0.000    0.000    0.004    0.001 string.py:148(substitute)
       18    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        2    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
        2    0.000    0.000    0.001    0.001 __init__.py:507(set_caption)
        8    0.000    0.000    0.006    0.001 pkg_resources.py:1777(find_eggs_in_zip)
        3    0.000    0.000    0.000    0.000 pickle.py:1087(load_global)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:2347(from_filename)
        1    0.000    0.000    0.001    0.001 arrayprint.py:343(array2string)
        2    0.000    0.000    0.001    0.000 pkg_resources.py:1534(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:761(_set_wm_normal_hints)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        8    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.006    0.006 base.py:114(__init__)
        6    0.000    0.000    0.000    0.000 arrayprint.py:457(_extendLine)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        3    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 __init__.py:725(on_close)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        3    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 pickle.py:1254(load_stop)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        2    0.000    0.000    0.004    0.002 xlib.py:184(create_context)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        1    0.000    0.000    0.000    0.000 __init__.py:878(dispatch_pending_events)
        1    0.000    0.000    0.000    0.000 zipfile.py:709(ZipFile)
        3    0.000    0.000    0.000    0.000 arrayprint.py:533(__init__)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:386(_set_up_aliases)
       80    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        2    0.000    0.000    0.020    0.010 xlib.py:177(get_matching_configs)
        1    0.000    0.000    0.000    0.000 linecache.py:68(updatecache)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
       51    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       30    0.000    0.000    0.000    0.000 pkg_resources.py:2688(cls)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 Queue.py:26(__init__)
        1    0.000    0.000    0.000    0.000 {unicodedata.category}
        2    0.000    0.000    0.000    0.000 __init__.py:100(remove)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1358(get_metadata)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:80(_bypass_ensure_directory)
        1    0.000    0.000    0.001    0.001 _simplex.py:1(__bootstrap__)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 base.py:310(exit)
        1    0.000    0.000    0.000    0.000 polynomial.py:930(poly1d)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
        1    0.000    0.000    3.325    3.325 __init__.py:135(run)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        3    0.000    0.000    0.000    0.000 {method 'compress' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        4    0.000    0.000    0.000    0.000 xlib.py:258(__init__)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 clock.py:227(__init__)
        1    0.000    0.000    0.013    0.013 pkg_resources.py:430(_build_master)
        6    0.000    0.000    0.000    0.000 zipfile.py:158(_EndRecData64)
        3    0.000    0.000    0.000    0.000 weakref.py:320(__setitem__)
        2    0.000    0.000    0.001    0.000 pkg_resources.py:220(get_provider)
        1    0.000    0.000    0.000    0.000 {posix.pipe}
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 base.py:342(on_window_close)
        1    0.000    0.000    0.000    0.000 {function seed at 0x7fb5c951be60}
        2    0.000    0.000    0.000    0.000 event.py:423(event)
        1    0.000    0.000    0.000    0.000 __init__.py:621(set_mouse_position)
        2    0.000    0.000    0.000    0.000 pickle.py:1129(load_reduce)
       19    0.000    0.000    0.000    0.000 tokenize.py:45(group)
        3    0.000    0.000    0.000    0.000 weakref.py:282(__init__)
        6    0.000    0.000    0.000    0.000 {cStringIO.StringIO}
       42    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
       16    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 xlib.py:69(XlibDisplay)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        4    0.000    0.000    0.000    0.000 __init__.py:857(<lambda>)
       30    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:246(NameValidator)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2742(_initialize)
       10    0.000    0.000    0.000    0.000 posixpath.py:119(basename)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        2    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
        1    0.000    0.000    0.000    0.000 __init__.py:531(_update_view_size)
        1    0.000    0.000    0.000    0.000 xf86vmode.py:168(struct_anon_97)
       86    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2176(Distribution)
        1    0.000    0.000    0.000    0.000 clock.py:511(_schedule_item)
       36    0.000    0.000    0.000    0.000 posixpath.py:59(isabs)
       52    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:92(_declare_state)
       19    0.000    0.000    0.000    0.000 __init__.py:828(<lambda>)
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:94(__init__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.005    0.005 __init__.py:573(set_visible)
        2    0.000    0.000    0.000    0.000 weakref.py:311(__delitem__)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1644(_get_eager_resources)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 utils.py:961(SafeEval)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:1762(any)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:252(get_build_platform)
        1    0.000    0.000    0.000    0.000 xlib.py:101(notify)
        2    0.000    0.000    0.004    0.002 xlib.py:295(__init__)
        1    0.000    0.000    0.000    0.000 xlib_vidmoderestore.py:42(ModePacket)
        1    0.000    0.000    0.000    0.000 warnings.py:74(simplefilter)
        6    0.000    0.000    0.000    0.000 pickle.py:870(marker)
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        1    0.000    0.000    0.000    0.000 clock.py:523(schedule_interval)
        2    0.000    0.000    0.020    0.010 base.py:132(get_best_config)
        2    0.000    0.000    0.000    0.000 inspect.py:236(isroutine)
       15    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        1    0.000    0.000    0.000    0.000 __init__.py:1219(_event_expose)
        1    0.000    0.000    0.000    0.000 base.py:96(EventLoop)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1469(_get)
        8    0.000    0.000    0.000    0.000 core.py:7199(__init__)
        3    0.000    0.000    0.000    0.000 index_tricks.py:231(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:902(_translate_modifiers)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
       17    0.000    0.000    0.000    0.000 __init__.py:225(_PlatformEventHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:535(get_size)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 arrayprint.py:700(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:24(_show_warning)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 urlparse.py:73(ResultMixin)
        1    0.000    0.000    0.000    0.000 resource.py:282(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:399(notifyAll)
       16    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:88(NoseTester)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        2    0.000    0.000    0.000    0.000 base.py:269(__init__)
        1    0.000    0.000    0.000    0.000 string_escape.py:29(getregentry)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 base.py:24(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:560(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:339(__enter__)
       13    0.000    0.000    0.000    0.000 threading.py:58(__init__)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1168(MarkerEvaluation)
        1    0.000    0.000    0.000    0.000 xlib.py:75(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:36(formatwarning)
        3    0.000    0.000    0.000    0.000 numeric.py:462(asanyarray)
        1    0.000    0.000    0.000    0.000 xlib.py:95(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1759(get_default_display)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:501(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        2    0.000    0.000    0.000    0.000 base.py:245(<lambda>)
        6    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        5    0.000    0.000    0.000    0.000 __init__.py:890(dispatch_platform_event)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 xlib.py:148(XlibCanvasConfig13)
        1    0.000    0.000    0.000    0.000 xlib.py:79(BaseXlibCanvasConfig)
        3    0.000    0.000    0.000    0.000 pickle.py:1122(find_class)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2464(DistInfoDistribution)
        6    0.000    0.000    0.000    0.000 pickle.py:1250(load_mark)
        6    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        2    0.000    0.000    0.000    0.000 numeric.py:1617(set_string_function)
        1    0.000    0.000    0.000    0.000 cursorfont.py:36(<module>)
        3    0.000    0.000    0.000    0.000 _methods.py:31(_any)
        5    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 suite.py:78(TestSuite)
        1    0.000    0.000    0.000    0.000 getlimits.py:194(iinfo)
        1    0.000    0.000    0.000    0.000 event.py:73(WindowEventLogger)
        1    0.000    0.000    0.000    0.000 zipfile.py:501(ZipExtFile)
        1    0.000    0.000    0.000    0.000 _datasource.py:150(DataSource)
        1    0.000    0.000    0.000    0.000 gl_info.py:67(GLInfo)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 base.py:264(<lambda>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:716(__init__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1281(ravel)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1331(NullProvider)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 zipfile.py:420(_ZipDecrypter)
        1    0.000    0.000    0.000    0.000 npyio.py:133(NpzFile)
        1    0.000    0.000    0.000    0.000 main.py:63(TestProgram)
        1    0.000    0.000    0.000    0.000 core.py:5761(MaskedConstant)
        1    0.000    0.000    0.001    0.001 numeric.py:1581(array_str)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1248(_event_leavenotify)
        4    0.000    0.000    0.000    0.000 base.py:324(__init__)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 xlib.py:173(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1431(__init__)
        2    0.000    0.000    0.000    0.000 resource.py:105(get_script_home)
        3    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1368(get_metadata_lines)
        2    0.000    0.000    0.000    0.000 xlib.py:104(compatible)
        1    0.000    0.000    0.000    0.000 xf86vmode.py:71(struct_anon_93)
        1    0.000    0.000    0.000    0.000 xlib.py:143(XlibCanvasConfig10ATI)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 getlimits.py:24(finfo)
        1    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 arrayprint.py:532(FloatFormat)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:758(Environment)
        1    0.000    0.000    0.000    0.000 {_functools.reduce}
        7    0.000    0.000    0.000    0.000 case.py:609(_deprecate)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 resource.py:267(Loader)
        3    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        6    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        1    0.000    0.000    0.000    0.000 core.py:5767(__new__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:213(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 clock.py:799(schedule_interval)
        1    0.000    0.000    0.000    0.000 pickle.py:1261(_EmptyClass)
        1    0.000    0.000    0.000    0.000 numeric.py:2716(_setdef)
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
        2    0.000    0.000    0.000    0.000 inspect.py:227(isbuiltin)
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray._reconstruct}
        1    0.000    0.000    0.000    0.000 base.py:8(Display)
        1    0.000    0.000    0.002    0.002 __init__.py:687(set_exclusive_mouse)
        1    0.000    0.000    0.000    0.000 pickle.py:83(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5564(mvoid)
        1    0.000    0.000    0.000    0.000 glx_info.py:65(GLXInfo)
        1    0.000    0.000    0.000    0.000 records.py:85(format_parser)
        1    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        1    0.000    0.000    0.000    0.000 xsync.py:269(struct_anon_99)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        1    0.000    0.000    0.000    0.000 xlib.py:243(XlibContext10)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1529(ZipProvider)
        2    0.000    0.000    0.000    0.000 base.py:255(<lambda>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:158(_ndptr)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1680(_eager_to_zip)
        1    0.000    0.000    0.000    0.000 arrayprint.py:689(__init__)
        1    0.000    0.000    0.000    0.000 difflib.py:1670(HtmlDiff)
        3    0.000    0.000    0.000    0.000 glx_info.py:66(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:732(on_key_press)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1436(__init__)
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 index_tricks.py:434(__init__)
        1    0.000    0.000    0.000    0.000 loader.py:38(TestLoader)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2063(EntryPoint)
        1    0.000    0.000    0.000    0.000 warnings.py:318(__init__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:414(WorkingSet)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1338(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 info.py:176(<module>)
        6    0.000    0.000    0.000    0.000 core.py:769(__init__)
        2    0.000    0.000    0.000    0.000 base.py:68(get_default_screen)
        2    0.000    0.000    0.000    0.000 event.py:230(set_handler)
        3    0.000    0.000    0.000    0.000 pickle.py:899(load_none)
        1    0.000    0.000    0.000    0.000 __init__.py:580(set_minimum_size)
        1    0.000    0.000    0.000    0.000 xlib.py:455(struct_anon_17)
        1    0.000    0.000    0.000    0.000 {method '__setstate__' of 'numpy.dtype' objects}
        1    0.000    0.000    0.000    0.000 base.py:145(is_complete)
        1    0.000    0.000    0.000    0.000 lib.py:101(LibraryLoader)
        1    0.000    0.000    0.000    0.000 function_base.py:1405(vectorize)
        1    0.000    0.000    0.000    0.000 numeric.py:392(asarray)
        2    0.000    0.000    0.000    0.000 utils.py:103(__init__)
