[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.001    0.000    0.051    0.001 __init__.py:492(flip)
  112/110    0.001    0.000    0.036    0.000 event.py:318(dispatch_event)
      114    0.001    0.000    0.001    0.000 threading.py:146(acquire)
      686    0.001    0.000    0.001    0.000 zipfile.py:287(__init__)
       31    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.001    0.001    0.004    0.004 __init__.py:45(<module>)
        1    0.001    0.001    0.040    0.040 _perlin.py:1(__bootstrap__)
        1    0.001    0.001    0.004    0.004 __init__.py:7(<module>)
        2    0.001    0.000    0.002    0.001 xlib.py:342(destroy)
     1994    0.001    0.000    0.002    0.000 sre_parse.py:201(get)
       10    0.001    0.000    0.018    0.002 glx_info.py:80(have_version)
        3    0.001    0.000    0.012    0.004 base.py:4(<module>)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
     4857    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
   196/57    0.001    0.000    0.009    0.000 sre_parse.py:301(_parse_sub)
      680    0.001    0.000    0.001    0.000 posixpath.py:68(join)
        1    0.001    0.001    0.002    0.002 index_tricks.py:1(<module>)
      111    0.001    0.000    0.001    0.000 clock.py:254(update_time)
     2887    0.001    0.000    0.001    0.000 {setattr}
      968    0.001    0.000    0.002    0.000 re.py:144(sub)
      231    0.001    0.000    0.003    0.000 sre_compile.py:178(_compile_charset)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.001    0.001    0.001    0.001 core.py:21(<module>)
        1    0.000    0.000    0.001    0.001 case.py:1(<module>)
      107    0.000    0.000    0.005    0.000 __init__.py:488(switch_to)
       99    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.003    0.003 glxext_arb.py:38(<module>)
  109/108    0.000    0.000    0.036    0.000 __init__.py:1153(dispatch_event)
      666    0.000    0.000    0.001    0.000 string.py:158(convert)
     2704    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       36    0.000    0.000    0.025    0.001 pkg_resources.py:472(add_entry)
        1    0.000    0.000    0.005    0.005 gl.py:38(<module>)
      486    0.000    0.000    0.001    0.000 genericpath.py:85(_splitext)
      112    0.000    0.000    0.002    0.000 base.py:287(_get_has_exit)
       38    0.000    0.000    0.000    0.000 pkg_resources.py:2685(_get_mro)
      100    0.000    0.000    0.000    0.000 base.py:180(_least_squares)
        7    0.000    0.000    0.034    0.005 util.py:214(_findSoname_ldconfig)
      227    0.000    0.000    0.001    0.000 __init__.py:103(__iter__)
      723    0.000    0.000    0.001    0.000 pkg_resources.py:2341(__getattr__)
        1    0.000    0.000    0.002    0.002 __init__.py:67(_require_ctypes_version)
        1    0.000    0.000    0.006    0.006 xf86vmode.py:7(<module>)
      518    0.000    0.000    0.002    0.000 genericpath.py:38(isdir)
      112    0.000    0.000    0.006    0.000 gl_info.py:85(set_active_context)
        1    0.000    0.000    0.007    0.007 xsync.py:40(<module>)
     3767    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     3995    0.000    0.000    0.001    0.000 pkg_resources.py:1966(_normalize_cached)
        1    0.000    0.000    2.009    2.009 pickle.py:1377(load)
      338    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    2.014    2.014 Contours:100(create_sculpture)
        1    0.000    0.000    0.000    0.000 xlib.py:77(__init__)
      468    0.000    0.000    0.000    0.000 {hasattr}
        8    0.000    0.000    0.002    0.000 __init__.py:349(__init__)
        7    0.000    0.000    0.002    0.000 lib.py:294(_find_libs)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.000    0.000 Contours:30(compress_noise)
     5162    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 resource.py:85(<module>)
      233    0.000    0.000    0.004    0.000 pkg_resources.py:2308(activate)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
        6    0.000    0.000    0.006    0.001 pkg_resources.py:1496(build_zipmanifest)
        3    0.000    0.000    0.004    0.001 xlib.py:150(select)
       10    0.000    0.000    0.000    0.000 pkg_resources.py:1653(_index)
      114    0.000    0.000    0.000    0.000 weakref.py:414(keys)
     1399    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       57    0.000    0.000    0.002    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.001    0.001 tempfile.py:18(<module>)
      114    0.000    0.000    0.000    0.000 threading.py:186(release)
      482    0.000    0.000    0.001    0.000 pkg_resources.py:1141(safe_version)
        1    0.000    0.000    0.002    0.002 zipfile.py:3(<module>)
